N,POPULATION_SIZE,OFFSPRING_SIZE,Fitness,Time
5000,50,33,5402625,127.36825251579285
5000,200,33,5463546,117.29187154769897
5000,300,33,5361863,121.5813159942627
5000,500,33,5364027,136.13657784461975
5000,600,33,5321615,151.09084248542786
5000,1000,33,5252181,177.45889616012573
5000,2000,33,5414203,325.92011857032776
5000,3000,33,5612579,404.0175566673279
5000,5000,33,5732629,796.2135825157166
5000,50,133,4676641,2240.140567302704
5000,200,133,4862641,427.62370467185974
5000,300,133,4962147,430.6345160007477
5000,500,133,4842933,464.0425148010254
5000,600,133,4900776,480.2418727874756
5000,1000,133,4811766,628.8448934555054
5000,2000,133,4729444,813.2263214588165
5000,3000,133,4877236,1341.954000711441
5000,5000,133,5080409,2357.965303182602
